roll,slashing,bludgeoning,piercing,fire,cold,lightning,force,necrotic,radiant,acid,psychic,thunder
1,**Gruesome slash: **The target must make a successful DC 10 CON Save or receive disadvantage for its next attack.,**Crushing blow: **The target must make a successful DC 10 CON Save or receive disadvantage for its next attack.,**Piercing lunge: **The target must make a successful DC 10 CON Save or receive disadvantage for its next attack.,**Burning pain: **The target must make a successful DC 10 CON Save or receive disadvantage for its next attack.,**Freezing pain: **The target must make a successful DC 10 CON Save or receive disadvantage for its next attack.,**Shocking pain: **The target must make a successful DC 10 CON Save or receive disadvantage for its next attack.,**Supernatural shock: **The target must make a successful DC 10 CON Save or receive disadvantage for its next attack.,**Rotting pain: **The target must make a successful DC 10 CON Save or receive disadvantage for its next attack.,**Glorious pain: **The target must make a successful DC 10 CON Save or receive disadvantage for its next attack.,**Burning acid: **The target must make a successful DC 10 CON Save or receive disadvantage for its next attack.,**Psychic pain: **The target must make a successful DC 10 CON Save or receive disadvantage for its next attack.,**Deafening pain: **The target must make a successful DC 10 CON Save or receive disadvantage for its next attack.
2,**Gruesome slash: **The target must make a successful DC 10 CON Save or receive disadvantage for its next attack.,**Crushing blow: **The target must make a successful DC 10 CON Save or receive disadvantage for its next attack.,**Piercing lunge: **The target must make a successful DC 10 CON Save or receive disadvantage for its next attack.,**Burning pain: **The target must make a successful DC 10 CON Save or receive disadvantage for its next attack.,**Freezing pain: **The target must make a successful DC 10 CON Save or receive disadvantage for its next attack.,**Shocking pain: **The target must make a successful DC 10 CON Save or receive disadvantage for its next attack.,**Supernatural shock: **The target must make a successful DC 10 CON Save or receive disadvantage for its next attack.,**Rotting pain: **The target must make a successful DC 10 CON Save or receive disadvantage for its next attack.,**Glorious pain: **The target must make a successful DC 10 CON Save or receive disadvantage for its next attack.,**Burning acid: **The target must make a successful DC 10 CON Save or receive disadvantage for its next attack.,**Psychic pain: **The target must make a successful DC 10 CON Save or receive disadvantage for its next attack.,**Deafening pain: **The target must make a successful DC 10 CON Save or receive disadvantage for its next attack.
3,**Gruesome slash: **The target must make a successful DC 10 CON Save or receive disadvantage for its next attack.,**Crushing blow: **The target must make a successful DC 10 CON Save or receive disadvantage for its next attack.,**Piercing lunge: **The target must make a successful DC 10 CON Save or receive disadvantage for its next attack.,**Burning pain: **The target must make a successful DC 10 CON Save or receive disadvantage for its next attack.,**Freezing pain: **The target must make a successful DC 10 CON Save or receive disadvantage for its next attack.,**Shocking pain: **The target must make a successful DC 10 CON Save or receive disadvantage for its next attack.,**Supernatural shock: **The target must make a successful DC 10 CON Save or receive disadvantage for its next attack.,**Rotting pain: **The target must make a successful DC 10 CON Save or receive disadvantage for its next attack.,**Glorious pain: **The target must make a successful DC 10 CON Save or receive disadvantage for its next attack.,**Burning acid: **The target must make a successful DC 10 CON Save or receive disadvantage for its next attack.,**Psychic pain: **The target must make a successful DC 10 CON Save or receive disadvantage for its next attack.,**Deafening pain: **The target must make a successful DC 10 CON Save or receive disadvantage for its next attack.
4,**Debilitating cut: **Roll one extra die of the weapon’s damage to the target.,**Debilitating smash: **Roll one extra die of the weapon’s damage to the target.,**Debilitating stab: **Roll one extra die of the weapon’s damage to the target.,**Flickering flames: **Roll one extra die of the attack’s damage to the target.,**Iced over: **Roll one extra die of the attack’s damage to the target.,**Crackling flashes: **Roll one extra die of the attack’s damage to the target.,**Flickering chaos: **Roll one extra die of the attack’s damage to the target.,**Rattle of bones: **Roll one extra die of the attack’s damage to the target.,**Purifying flames: **Roll one extra die of the attack’s damage to the target.,**Choking fumes: **Roll one extra die of the attack’s damage to the target.,**Nightmarish visions Roll one extra die of the attack’s damage to the target.,**Thundering roar: **Roll one extra die of the attack’s damage to the target.
5,**Debilitating cut: **Roll one extra die of the weapon’s damage to the target.,**Debilitating smash: **Roll one extra die of the weapon’s damage to the target.,**Debilitating stab: **Roll one extra die of the weapon’s damage to the target.,**Flickering flames: **Roll one extra die of the attack’s damage to the target.,**Iced over: **Roll one extra die of the attack’s damage to the target.,**Crackling flashes: **Roll one extra die of the attack’s damage to the target.,**Flickering chaos: **Roll one extra die of the attack’s damage to the target.,**Rattle of bones: **Roll one extra die of the attack’s damage to the target.,**Purifying flames: **Roll one extra die of the attack’s damage to the target.,**Choking fumes: **Roll one extra die of the attack’s damage to the target.,**Nightmarish visions Roll one extra die of the attack’s damage to the target.,**Thundering roar: **Roll one extra die of the attack’s damage to the target.
6,**Debilitating cut: **Roll one extra die of the weapon’s damage to the target.,**Debilitating smash: **Roll one extra die of the weapon’s damage to the target.,**Debilitating stab: **Roll one extra die of the weapon’s damage to the target.,**Flickering flames: **Roll one extra die of the attack’s damage to the target.,**Iced over: **Roll one extra die of the attack’s damage to the target.,**Crackling flashes: **Roll one extra die of the attack’s damage to the target.,**Flickering chaos: **Roll one extra die of the attack’s damage to the target.,**Rattle of bones: **Roll one extra die of the attack’s damage to the target.,**Purifying flames: **Roll one extra die of the attack’s damage to the target.,**Choking fumes: **Roll one extra die of the attack’s damage to the target.,**Nightmarish visions Roll one extra die of the attack’s damage to the target.,**Thundering roar: **Roll one extra die of the attack’s damage to the target.
7,**Vicious laceration: **The target must make a successful DC 10 CON Save or suffer an additional 1d8 damage.,**Shattering wallop: **The target must make a successful DC 10 CON Save or suffer an additional 1d8 damage.,**Shattering thrust: **The target must make a successful DC 10 CON Save or suffer an additional 1d8 damage.,**Withering heat: **The target must make a successful DC 10 CON Save or suffer an additional 1d8 fire damage.,**Shivering cold: **The target must make a successful DC 10 CON Save or suffer an additional 1d8 cold damage.,**Lingering sparks: **The target must make a successful DC 10 CON Save or suffer an additional 1d8 lightning damage.,**Withering arcana: **The target must make a successful DC 10 CON Save or suffer an additional 1d8 force damage.,**Withering necromancy: **The target must make a successful DC 10 CON Save or suffer an additional 1d8 necrotic damage.,**Virtuous glory: **The target must make a successful DC 10 CON Save or suffer an additional 1d8 radiant damage.,**Acrid bile: **The target must make a successful DC 10 CON Save or suffer an additional 1d8 acid damage.,**Broken will: **The target must make a successful DC 10 CON Save or suffer an additional 1d8 psychic damage.,**Earsplitting crash: **The target must make a successful DC 10 CON Save or suffer an additional 1d8 thunder damage.
8,**Vicious laceration: **The target must make a successful DC 10 CON Save or suffer an additional 1d8 damage.,**Shattering wallop: **The target must make a successful DC 10 CON Save or suffer an additional 1d8 damage.,**Shattering thrust: **The target must make a successful DC 10 CON Save or suffer an additional 1d8 damage.,**Withering heat: **The target must make a successful DC 10 CON Save or suffer an additional 1d8 fire damage.,**Shivering cold: **The target must make a successful DC 10 CON Save or suffer an additional 1d8 cold damage.,**Lingering sparks: **The target must make a successful DC 10 CON Save or suffer an additional 1d8 lightning damage.,**Withering arcana: **The target must make a successful DC 10 CON Save or suffer an additional 1d8 force damage.,**Withering necromancy: **The target must make a successful DC 10 CON Save or suffer an additional 1d8 necrotic damage.,**Virtuous glory: **The target must make a successful DC 10 CON Save or suffer an additional 1d8 radiant damage.,**Acrid bile: **The target must make a successful DC 10 CON Save or suffer an additional 1d8 acid damage.,**Broken will: **The target must make a successful DC 10 CON Save or suffer an additional 1d8 psychic damage.,**Earsplitting crash: **The target must make a successful DC 10 CON Save or suffer an additional 1d8 thunder damage.
9,**Vicious laceration: **The target must make a successful DC 10 CON Save or suffer an additional 1d8 damage.,**Shattering wallop: **The target must make a successful DC 10 CON Save or suffer an additional 1d8 damage.,**Shattering thrust: **The target must make a successful DC 10 CON Save or suffer an additional 1d8 damage.,**Withering heat: **The target must make a successful DC 10 CON Save or suffer an additional 1d8 fire damage.,**Shivering cold: **The target must make a successful DC 10 CON Save or suffer an additional 1d8 cold damage.,**Lingering sparks: **The target must make a successful DC 10 CON Save or suffer an additional 1d8 lightning damage.,**Withering arcana: **The target must make a successful DC 10 CON Save or suffer an additional 1d8 force damage.,**Withering necromancy: **The target must make a successful DC 10 CON Save or suffer an additional 1d8 necrotic damage.,**Virtuous glory: **The target must make a successful DC 10 CON Save or suffer an additional 1d8 radiant damage.,**Acrid bile: **The target must make a successful DC 10 CON Save or suffer an additional 1d8 acid damage.,**Broken will: **The target must make a successful DC 10 CON Save or suffer an additional 1d8 psychic damage.,**Earsplitting crash: **The target must make a successful DC 10 CON Save or suffer an additional 1d8 thunder damage.
10,**Horrific gash: **The target loses its next attack as it staggers in shock from its wound.,**Bone-crushing force: **The target loses its next attack as it staggers in shock from its wound.,**Perforated: **The target loses its next attack as it staggers in shock from its wound.,**Smoldering: **The target loses its next attack as it staggers in shock from its wound.,**Numbing effect: **The target loses its next attack as it staggers in shock from its wound.,**Electrified: **The target loses its next attack as it staggers in shock from its wound.,**Seething wreck: **The target loses its next attack as it staggers in shock from its wound.,**Condemned: **The target loses its next attack as it staggers in shock from its wound.,**Cleansed: **The target loses its next attack as it staggers in shock from its wound.,**Bitter pungency: **The target loses its next attack as it staggers in shock from its wound.,**Mind-blasted: **The target loses its next attack as it staggers in shock from its wound.,**Reverberating agony: **The target loses its next attack as it staggers in shock from its wound.
